query_id,query,repeat,workflow_id,started_at,generation_status,test_status,dryrun_status,plan_s,identify_s,assemble_s,dryrun_s,exec_s,total_s,llm_calls,llm_tokens,prompt_tokens,completion_tokens,llm_cost_usd,total_elements,successful_elements,failed_elements,locator_success_rate,flake_retries,dryrun_repairs,cold_start_s,cleanup_s,locator_timer_count,locator_latency_ms_median,locator_latency_ms_p90,probe_total,probe_unique,duplicate_lookup_rate
q01,"Navigate to GitHub using url https://github.com/monkscode, and then get the name of the Pinned project",1,aece927d-099f-456d-b614-35f0003488f2,2026-07-03T19:18:24,complete,passed,,6.048,40.379,2.019,4.035,4.213,56.772,14,101226,97588,3638,0.1718479,1,1,0,1.0,0,0,1.772,11.453,0,,,0,0,0.0
q01,"Navigate to GitHub using url https://github.com/monkscode, and then get the name of the Pinned project",2,e9f12f41-cfb4-4f1b-96e9-68d2cf4693f3,2026-07-03T19:19:22,complete,passed,,3.023,36.354,3.035,3.02,3.7,49.237,14,114945,110645,4300,0.2046675,1,1,0,1.0,0,0,1.941,11.431,0,,,0,0,0.0
q01,"Navigate to GitHub using url https://github.com/monkscode, and then get the name of the Pinned project",3,f3a9cbf6-f87f-4aac-aa17-1fa5dab716eb,2026-07-03T19:20:13,complete,passed,,3.043,39.383,3.027,4.043,4.646,54.218,14,115001,110676,4325,0.204939,1,1,0,1.0,0,0,1.947,11.632,0,,,0,0,0.0
q02,"Go to https://www.wikipedia.org/ and search for ""Narendra Modi""",1,41c606d6-2491-489a-b970-388e6ab25160,2026-07-03T19:21:09,complete,passed,,3.01,39.368,2.015,4.027,4.451,52.968,14,104538,99723,4815,0.18562830000000002,1,1,0,1.0,0,0,1.776,11.293,1,57.4,57.4,0,0,0.0
q02,"Go to https://www.wikipedia.org/ and search for ""Narendra Modi""",2,71008880-7000-4036-8484-cce7a78e8da8,2026-07-03T19:22:03,complete,passed,,2.027,31.303,2.021,3.018,3.249,41.74,14,105358,100274,5084,0.1961675,1,1,0,1.0,0,0,1.866,11.347,1,56.4,56.4,0,0,0.0
q02,"Go to https://www.wikipedia.org/ and search for ""Narendra Modi""",3,f438ecd9-65ca-4051-9ecd-5486692be54f,2026-07-03T19:22:47,complete,passed,,3.026,36.355,2.014,4.047,4.18,49.766,14,105121,100282,4839,0.18669840000000001,1,1,0,1.0,0,0,1.862,11.347,1,49.3,49.3,0,0,0.0
q03,Open https://nutronsystems.com/ then click on Solutions from the top right and then click on OEM Solution,1,05cc9571-ab65-4290-a089-2c6dad2b90d4,2026-07-03T19:23:38,complete,failed,,3.027,44.434,2.023,4.034,19.514,73.113,15,120035,114758,5277,0.2123419,2,2,0,1.0,0,0,1.794,11.473,2,81.6,121.2,0,0,0.0
q03,Open https://nutronsystems.com/ then click on Solutions from the top right and then click on OEM Solution,2,b848d0c4-81c0-423c-aa6d-f8bf2d9eefbc,2026-07-03T19:24:54,complete,failed,,3.041,44.408,2.019,4.054,13.69,67.312,15,117497,112905,4592,0.1985463,2,2,0,1.0,0,0,1.949,11.358,2,92.85,117.9,0,0,0.0
q03,Open https://nutronsystems.com/ then click on Solutions from the top right and then click on OEM Solution,3,649b2c28-2c2d-49a1-8799-150bbcd52197,2026-07-03T19:26:03,complete,failed,,3.043,45.469,2.021,3.027,13.636,67.291,15,117971,113308,4663,0.21192899999999998,2,2,0,1.0,0,0,1.766,11.467,2,77.2,81.0,0,0,0.0
q04,"Go to https://the-internet.herokuapp.com/tables and click on the first table ""edit"" link in the row containing ""Smith""",1,1c13b216-5df8-435a-ba04-5c4e9a4cdbdd,2026-07-03T19:27:11,complete,passed,,2.013,40.399,2.024,4.05,6.204,54.784,14,103607,99321,4286,0.187555,1,1,0,1.0,0,0,1.866,11.403,0,,,0,0,0.0
